topic,device,timestamp,count
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_18,19826
android_phone_sms_unread,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171208_21,3
android_phone_battery_level,f12da128-2fba-467b-8810-3131c95afcd1,20171201_22,4982
application_uptime,a6295b68-b514-4d98-890d-15622e32b706,20171206_16,3
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171208_14,2
android_phone_magnetic_field,f07c0e86-d72a-43de-822c-b5bc52e7b834,20171205_14,1589
thincit_trails,a1598317-e0dc-4f3d-a568-f3bd76a75985,20171130_09,1
android_phone_bluetooth_devices,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171207_16,1
android_phone_contacts,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171209_11,58
android_phone_user_interaction,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171208_19,4
android_phone_user_interaction,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171205_13,4
application_server_status,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171211_06,2
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_11,47951
android_phone_acceleration,90ffa62a-9895-4fac-b31a-986b6a8aff15,20171206_10,13596
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_04,19494
application_uptime,dfa0e91a-4e12-454c-8c6f-08330fb1457b,20171129_21,1
application_record_counts,a6295b68-b514-4d98-890d-15622e32b706,20171206_15,3
application_server_status,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_08,3
android_phone_contacts,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171205_15,12
android_phone_sms_unread,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171130_14,1
android_phone_contacts,9b2f3583-331d-4d6e-b179-3eef66e455d6,20171207_15,13
android_phone_light,4730ce67-e1e7-4cf2-8953-1503398af995,20171208_12,535
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_23,1
android_phone_bluetooth_devices,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171201_07,1
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_21,8
android_phone_contacts,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171205_04,57
android_phone_magnetic_field,7d69b951-b6fe-4a38-b0bf-5200c70b4f86,20171130_12,18000
android_phone_sms_unread,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171209_10,1
android_phone_gyroscope,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171206_17,17979
android_phone_bluetooth_devices,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_09,2
android_phone_acceleration,0dac7183-39ee-4f22-bb29-2c8813b288cd,20171130_13,5077
application_server_status,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171209_16,1
android_phone_acceleration,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171206_11,17975
android_phone_bluetooth_devices,64adf7b9-f725-4a25-a1fe-26f36a0b1567,20171207_19,1
questionnaire_phq8,e6649d86-2ba4-41b8-9932-509cd2063ec3,499010911_06,1
android_phone_call,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171202_14,1
android_phone_battery_level,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_11,15463
android_phone_gyroscope,64adf7b9-f725-4a25-a1fe-26f36a0b1567,20171207_22,17991
application_server_status,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_03,3
application_uptime,8f193786-3d9f-4bef-90d4-525f2cdb1e10,20171207_17,3
android_phone_bluetooth_devices,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_15,3
android_phone_relative_location,734ba51c-68db-47b0-bb45-39c88cd49473,20171211_10,2
android_phone_gyroscope,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_16,73482
android_phone_acceleration,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_21,17978
android_phone_usage_event,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_16,63
android_phone_light,0d6501e2-25d8-44bb-aaa5-b64733237b3e,20171206_10,7187
android_phone_contacts,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171208_12,12
android_phone_battery_level,7c82a31e-9623-47f1-ae15-ce7f5c80e4de,20171206_20,26
android_phone_light,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_08,1700
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_00,1
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171206_20,1
android_phone_bluetooth_devices,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_16,3
android_phone_gyroscope,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_17,17977
android_phone_sms_unread,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171210_12,1
android_phone_user_interaction,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171210_20,3
android_phone_battery_level,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_03,81
android_phone_relative_location,695a8490-cf60-4936-9e0f-bed804c2f7db,20171207_13,5
android_phone_bluetooth_devices,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_23,1
questionnaire_phq8,441d5aa2-10e0-4edc-8b26-454d6f8e3e1f,499030725_10,1
android_phone_acceleration,64adf7b9-f725-4a25-a1fe-26f36a0b1567,20171208_02,17874
android_phone_bluetooth_devices,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171205_14,1
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_20,36158
android_phone_acceleration,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171201_07,31618
android_phone_call,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171206_09,1
android_phone_user_interaction,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_17,3
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171206_10,2496
android_phone_light,d92458a4-2c70-49ad-b713-43497edb2287,20171130_17,159
android_phone_gyroscope,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_07,19992
android_phone_contacts,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171210_15,12
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_16,18301
android_phone_contacts,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_16,61
android_phone_battery_level,64adf7b9-f725-4a25-a1fe-26f36a0b1567,20171207_17,76
android_phone_gyroscope,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171205_08,17619
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_12,19822
android_phone_acceleration,872009f0-af70-47bc-a15b-bd0b156d539f,20171206_17,31619
android_phone_bluetooth_devices,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_16,1
android_phone_relative_location,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171209_17,19
android_phone_contacts,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_16,12
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_15,2
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_17,842
android_phone_bluetooth_devices,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171208_21,4
application_uptime,c790fe3d-8d84-4a73-98fc-a779fb5763df,20171206_12,1
android_phone_acceleration,872009f0-af70-47bc-a15b-bd0b156d539f,20171206_12,1936
android_phone_battery_level,5053448e-a2df-483f-81fb-0379ee953014,20171206_09,75
android_phone_light,f12da128-2fba-467b-8810-3131c95afcd1,20171201_13,5821
application_record_counts,dfa0e91a-4e12-454c-8c6f-08330fb1457b,20171129_21,1
android_phone_bluetooth_devices,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171207_20,1
android_phone_usage_event,7c82a31e-9623-47f1-ae15-ce7f5c80e4de,20171206_19,196
android_phone_acceleration,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171206_02,17979
android_phone_acceleration,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171204_17,21018
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_08,6
android_phone_bluetooth_devices,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_16,1
android_phone_relative_location,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171210_00,6
android_phone_gyroscope,f12da128-2fba-467b-8810-3131c95afcd1,20171201_16,39962
android_phone_acceleration,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171207_15,6376
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171211_01,19960
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_11,5
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_12,36825
android_phone_acceleration,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171206_14,50
android_phone_contacts,7c82a31e-9623-47f1-ae15-ce7f5c80e4de,20171207_06,3
android_phone_battery_level,695a8490-cf60-4936-9e0f-bed804c2f7db,20171207_15,4
application_uptime,6db946ae-b539-4f30-bce9-3abbf9c9a8d8,20171205_14,1
application_uptime,f43b5b0d-e8dc-4104-93f9-ad09d1aa0079,20171209_09,1
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_00,18745
android_phone_sms_unread,f12da128-2fba-467b-8810-3131c95afcd1,20171201_13,1
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171207_17,2
android_phone_acceleration,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171209_11,19439
android_phone_user_interaction,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171209_09,4
application_uptime,a6295b68-b514-4d98-890d-15622e32b706,20171206_14,2
android_phone_acceleration,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171204_16,15196
android_phone_step_count,7d69b951-b6fe-4a38-b0bf-5200c70b4f86,20171130_07,17999
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_12,4
android_phone_battery_level,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171210_15,10620
android_phone_battery_level,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_19,325
android_phone_bluetooth_devices,b52418a4-6be2-4e66-81c1-e76b166eb663,20171130_09,2
android_phone_gyroscope,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_06,22794
android_phone_magnetic_field,64adf7b9-f725-4a25-a1fe-26f36a0b1567,20171208_06,18713
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_12,6
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171211_01,1
android_phone_contacts,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_03,8
android_phone_relative_location,7c82a31e-9623-47f1-ae15-ce7f5c80e4de,20171206_13,9
android_phone_step_count,d2d681e7-5cf0-4bca-a398-ad5bebc056a4,20171130_10,52
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_14,19072
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171211_07,2
android_phone_relative_location,f12da128-2fba-467b-8810-3131c95afcd1,20171201_16,5
android_phone_bluetooth_devices,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171205_17,1
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171208_06,1
android_phone_gyroscope,d2d681e7-5cf0-4bca-a398-ad5bebc056a4,20171130_09,14607
android_phone_usage_event,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_17,3
android_phone_gyroscope,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171207_15,6310
application_record_counts,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171209_19,2
android_phone_battery_level,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_23,56
android_phone_battery_level,734ba51c-68db-47b0-bb45-39c88cd49473,20171211_09,38
android_phone_bluetooth_devices,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171205_06,2
android_phone_usage_event,f27a46d0-a505-4fd7-9d7d-3090bfd9bb84,20171205_12,2
android_phone_acceleration,734ba51c-68db-47b0-bb45-39c88cd49473,20171211_02,19989
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171206_10,175
android_phone_acceleration,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171203_08,551
android_phone_bluetooth_devices,0dac7183-39ee-4f22-bb29-2c8813b288cd,20171130_13,1
application_server_status,0d43e0da-840b-4447-ad2c-7ba706474b43,20171206_10,2
android_phone_gyroscope,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_12,35958
application_server_status,c790fe3d-8d84-4a73-98fc-a779fb5763df,20171206_12,1
android_phone_user_interaction,f12da128-2fba-467b-8810-3131c95afcd1,20171201_23,1
application_uptime,1529bd94-8320-4171-a643-da56df4ac913,20171130_09,2
android_phone_step_count,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_14,2472
android_phone_relative_location,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171210_17,19
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171210_09,20049
application_server_status,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171208_19,2
android_phone_light,734ba51c-68db-47b0-bb45-39c88cd49473,20171211_10,8856
android_phone_gyroscope,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171206_22,24218
android_phone_gyroscope,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171206_14,17975
thincit_code_breaker,15f599a1-62e1-4ee9-9d7d-f1bda25b1a0c,20171130_11,1
android_phone_magnetic_field,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_07,19862
android_phone_magnetic_field,695a8490-cf60-4936-9e0f-bed804c2f7db,20171206_12,156034
application_uptime,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171207_16,3
android_phone_bluetooth_devices,8fa1cdde-0ed3-4884-9784-17920d38cbdc,20171208_11,1
android_phone_contacts,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_22,6
android_phone_relative_location,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_17,13
android_phone_acceleration,7e6e3047-6257-4ea3-9ad6-ed48f351d404,20171130_10,1955
android_phone_magnetic_field,64adf7b9-f725-4a25-a1fe-26f36a0b1567,20171207_22,17871
android_phone_magnetic_field,734ba51c-68db-47b0-bb45-39c88cd49473,20171207_14,19902
android_phone_user_interaction,0d6501e2-25d8-44bb-aaa5-b64733237b3e,20171206_11,4
android_phone_gyroscope,7d69b951-b6fe-4a38-b0bf-5200c70b4f86,20171130_09,18453
application_uptime,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171209_13,2
android_phone_contacts,d2d681e7-5cf0-4bca-a398-ad5bebc056a4,20171130_11,7
android_phone_magnetic_field,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_14,19070
android_phone_magnetic_field,734ba51c-68db-47b0-bb45-39c88cd49473,20171209_04,18723
android_phone_gyroscope,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171208_01,18818
android_phone_relative_location,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_14,14
android_phone_sms_unread,734ba51c-68db-47b0-bb45-39c88cd49473,20171208_16,3
application_uptime,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171206_15,1
application_record_counts,f43b5b0d-e8dc-4104-93f9-ad09d1aa0079,20171208_22,4
android_phone_step_count,791e3f93-c19d-4b9c-a8d5-f8adee3730cc,20171207_16,1044
application_server_status,08fcaf53-1305-4618-b7a6-68606b4b91b0,20171210_04,1
android_phone_gyroscope,7d69b951-b6fe-4a38-b0bf-5200c70b4f86,20171130_05,18000
android_phone_acceleration,0d6501e2-25d8-44bb-aaa5-b64733237b3e,20171206_11,19846
application_server_status,ef3ede0c-6d38-418a-a8e6-5083f742d30d,20171206_09,5
android_phone_bluetooth_devices,98fc6645-6ea1-4e42-b9ff-8b86d63a3749,20171205_05,1
